Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.017096356,0.011449495,0.018090403
MAE,0.09217323,0.07401288,0.09403082
R2,0.66308963,0.49289972,0.6324626
"MAPE, %",24.72707,24.829075,24.335592
