,Дельта Х,Дельта Х,Дельта Х,Дельта У,Дельта У,Дельта У,Дельта Фи,Дельта Фи,Дельта Фи
,MSE,MAE,R2,MSE,MAE,R2,MSE,MAE,R2
Набор данных,,,,,,,,,
train,0.023629034,0.10844651,0.963182,0.025633039,0.10748811,0.94904786,0.0014742315,0.029497763,0.6546211
val,0.04722921,0.1592342,0.91293037,0.048778664,0.1581112,0.8879681,0.0017482155,0.032156587,0.55256414
test,0.03702812,0.13852867,0.9365307,0.04727022,0.1499727,0.9001889,0.0018248734,0.033109605,0.59243965
