Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,1.0483096,1.1813517,0.99822146
MAE,0.6722776,0.7890286,0.7084199
R2,-6.143352,-7.3036566,-5.419635
"MAPE, %",94.074905,16399.676,2128.1108
