Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.012130501,0.010033956,0.013025036
MAE,0.0707474,0.064521916,0.07349525
R2,0.76094955,0.5555942,0.7353742
"MAPE, %",20.03579,21.76208,19.922028
