Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,1.048311,1.1813532,0.99822366
MAE,0.67227626,0.78903204,0.70842797
R2,-6.1434216,-7.3036585,-5.41962
"MAPE, %",94.074715,16399.742,2128.111
