Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.005698302,0.00967123,0.0049303314
MAE,0.04957712,0.05488173,0.048737526
R2,0.9587684,0.9282041,0.96675706
"MAPE, %",11.074557,14.810474,10.811289
