Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.50671184,0.50671184,0.50671184
MAE,0.49780908,0.49780908,0.49780908
R2,0.99915427,0.99915427,0.99915427
"MAPE, %",2.4990473,2.4990473,2.4990473
