Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,3.3109047,3.711044,2.7225113
MAE,1.3004723,1.2803472,1.212232
R2,-21.561207,-25.084661,-16.508556
"MAPE, %",269.76663,529.83704,554.11865
