Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.7025201,0.7025201,0.7025201
MAE,0.6157073,0.6157073,0.6157073
R2,0.99957585,0.99957585,0.99957585
"MAPE, %",8.629559,8.629559,8.629559
