Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.00688544,0.010864993,0.0063144504
MAE,0.05750497,0.062438305,0.057102624
R2,0.95292056,0.9233645,0.9593412
"MAPE, %",15.098631,16.567656,15.374907
