Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.0029952023,0.004407271,0.0027074416
MAE,0.038098153,0.042614684,0.03725541
R2,0.97832745,0.96728194,0.98174477
"MAPE, %",8.898708,10.180857,11.540254
