Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.01903725,0.012617239,0.018612662
MAE,0.09028593,0.07597246,0.09035755
R2,0.6248413,0.4411801,0.62185204
"MAPE, %",24.513649,25.734886,23.504114
