Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.013284296,0.010207157,0.013960995
MAE,0.072988994,0.065027565,0.07561745
R2,0.7382122,0.5479231,0.7163586
"MAPE, %",20.633781,22.191242,20.75372
