Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.0072546485,0.0121056475,0.006373074
MAE,0.05886224,0.06433714,0.057431765
R2,0.95056564,0.91491044,0.9590144
"MAPE, %",13.605502,19.227201,14.143976
