Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,3.7681575,4.2049737,3.0972803
MAE,1.402006,1.3727932,1.2944752
R2,-24.677132,-28.55665,-18.918722
"MAPE, %",672.83905,362.78174,453.91153
