Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.0051872935,0.009283473,0.004764166
MAE,0.047266472,0.052522868,0.046403747
R2,0.9624654,0.9310829,0.96787757
"MAPE, %",10.044001,12.872338,21.596272
