Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,4.058555,3.0359511,3.3368027
MAE,1.5486345,1.3171188,1.5123072
R2,-26.65579,-20.339338,-20.459127
"MAPE, %",217.07794,245.58453,621.8831
