Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.0065708593,0.01041224,0.0057708984
MAE,0.055009793,0.059866,0.053512964
R2,0.95245457,0.92270297,0.9610893
"MAPE, %",12.291969,13.630465,12.718387
