Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.00751572,0.012371487,0.006879514
MAE,0.061544497,0.07101066,0.060411416
R2,0.94861126,0.9127386,0.95570225
"MAPE, %",16.289503,18.082716,16.794317
