Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.0036389972,0.0053797616,0.0030811501
MAE,0.040893216,0.044577315,0.039175816
R2,0.97366935,0.96006256,0.97922504
"MAPE, %",8.753398,11.171319,9.219447
