Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.007275201,0.011699181,0.006906432
MAE,0.060126867,0.06660226,0.059780803
R2,0.9502561,0.9174809,0.95552874
"MAPE, %",15.524628,19.827785,18.144625
