Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.0036727465,0.00589933,0.0033944517
MAE,0.040155627,0.04575287,0.039700348
R2,0.9734248,0.9562056,0.9771125
"MAPE, %",9.780219,11.746717,10.098397
