Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.003940302,0.0062813805,0.0033577837
MAE,0.042810787,0.04758729,0.04040911
R2,0.97148865,0.9533694,0.97735965
"MAPE, %",13.0732,11.668253,9.663222
