Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.0060276957,0.009820765,0.005096708
MAE,0.05365031,0.056434672,0.05005119
R2,0.95638466,0.9270937,0.9656348
"MAPE, %",11.700641,12.494023,11.1654
