Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.0061489535,0.010322055,0.008168187
MAE,0.053967882,0.062460605,0.064164
R2,0.9555078,0.9233725,0.9449256
"MAPE, %",11.421479,13.2894535,12.3114195
