;omega;vy;vx;w3slip;w2slip;w1slip;m3cur;m2cur;m1cur;m3vel;m2vel;m1vel
count;215470.0;215470.0;215470.0;215470.0;215470.0;215470.0;215470.0;215470.0;215470.0;215470.0;215470.0;215470.0
mean;-0.00040058790248085756;6.831889537170983e-05;0.00017604563002888006;0.3734953144945598;0.2698934631056334;0.37923905053850776;0.64901097329927;0.6257480771696183;0.6631361866856794;0.04650249807184901;-0.19590761088145855;0.1778431173929142
std;0.049039154436765806;0.06875900266884852;0.057538341753732125;0.24641829046754798;0.1695125092148134;0.23685484945044674;0.3942762645819692;0.3763891463985034;0.38225061272589034;40.27292663609504;40.10994930593248;40.89330085001341
min;-0.5714729497187395;-0.307843793492717;-0.2014522878419716;-3.91803633177334;-2.079314750403149;-0.3766423460372155;3.486849659827362e-10;0.0;3.1005604368571777e-10;-115.599517853438;-113.19969405938768;-116.077368177235
25%;-0.02392876800240725;-0.04577509965576643;-0.038789161085758174;0.18414215624725527;0.16489036768218332;0.18535074480234143;0.2998622724857525;0.2696399995553915;0.3230369694366572;-27.651538550036804;-27.77252364305226;-28.37287041821303
50%;-0.00012469161174005002;0.0001921835049902;0.0010264266947569499;0.37020315759049044;0.2643627460802471;0.36797468896251273;0.6025528667300707;0.5952916939203922;0.6270078318380881;4.9599750870690925e-05;-9.33189092079468e-05;2.3618947204517298e-05
75%;0.02329603249704185;0.04588386279885188;0.039454021531149325;0.5420846794019127;0.37396085564769915;0.5455295786731661;1.0218007725969172;0.9796854889331412;1.0141858515656343;28.04074681131448;27.538390071138817;28.42750042769232
max;0.6158343107507963;0.2392802637535485;0.2453183583021494;4.628987696543965;4.68765230766667;3.82276533935568;2.92547640284718;3.04914986147663;3.15754148890189;114.7237015084225;113.08605557609567;116.253163617603
