Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.5484115,0.5484115,0.5484115
MAE,0.5361584,0.5361584,0.5361584
R2,0.99967164,0.99967164,0.99967164
"MAPE, %",6.8398447,6.8398447,6.8398447
