Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,4.058576,3.035932,3.3367622
MAE,1.5486349,1.3171271,1.5123106
R2,-26.655949,-20.339334,-20.458786
"MAPE, %",217.07794,245.583,621.87823
