Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,4.058554,3.0359523,3.3367825
MAE,1.5486469,1.3171166,1.5123062
R2,-26.655363,-20.339472,-20.45905
"MAPE, %",217.07881,245.58134,621.88245
