Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.00652214,0.009760902,0.0056130784
MAE,0.0550348,0.05719333,0.05358975
R2,0.952807,0.92753905,0.96215355
"MAPE, %",10.991383,14.578408,11.628977
