Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.014976677,0.011543178,0.015593742
MAE,0.07832475,0.06970418,0.08000696
R2,0.7048612,0.48875052,0.6831866
"MAPE, %",21.601376,24.20453,21.907326
