Метрики,Двигатель 1,Двигатель 2,Двигатель 3
MSE,0.13605523,0.12943603,0.13935319
MAE,0.30136824,0.26637012,0.29949525
R2,0.07289398,0.09020907,0.10380834
"MAPE, %",52.820663,59.60349,53.41939
