Метрики,Ток М1,Ток М2,Ток М3,Скорость М1,Скорость М2,Скорость М3
MSE,0.004551413,0.0091145905,0.0042237923,0.41832155,0.3652137,0.45206407
MAE,0.041527584,0.050396096,0.041615456,0.46361646,0.41213447,0.48829037
R2,0.9689855,0.93593407,0.9728365,0.9997511,0.9997763,0.99972427
"MAPE, %",11.7637,14.055066,12.218092,63.519783,41.22144,28.363777
